year,CPI,inflation_rate,money_supply,FER,RGDP,FBPI
1977,4.26,2.7,2524,12.5,349456.79,3.37944
1978,4.73,11.17,3223,12.33,358000.55,3.906778
1979,4.89,3.44,3772.1,12,366179.37,3.966001
1980,5.37,9.78,4511.4,12,361327.89,4.40483
1981,6.09,13.39,5285.3,12,395545.85,4.995417
1982,6.73,10.42,6307.7,13,415016.17,5.544042
1983,7.68,14.17,7458,13.88,417119.91,6.431884
1984,8.16,6.24,9222.4,15.5,454729.61,6.787831
1985,8.5,4.14,10455.2,17.93,480275.01,6.856939
1986,9.84,15.84,12296.6,19.95,502862.06,8.134343
1987,11.15,13.27,15159,21.69,511013.04,9.364666
1988,12.35,10.79,17498.2,22.21,546661.31,10.49582
1989,13.38,8.31,21422.6,25.63,574998.79,11.11567
1990,14.68,9.7,26605.1,28.64,600695.66,12.33395
1991,16.12,9.81,31552.4,31.95,639300.97,13.56366
1992,19.51,21.05,37712.5,42.69,668511.38,16.88932
1993,21.24,8.86,45670.5,45.65,689450.78,17.9547
1994,23.14,8.95,58322.5,49.25,742666.76,19.58797
1995,24.92,7.66,69777.1,49.94,762351.33,21.02633
1996,26.94,8.13,80984.7,55.21,804757.63,22.90316
1997,29.12,8.09,92652.2,57.02,845767.41,24.77756
1998,31.55,8.33,103720.6,61.95,872915.43,26.70349
1999,35.14,11.38,126462.6,67.95,912029.64,31.03064
2000,36.33,3.39,152800.2,69.07,966783.8,31.1738
2001,37.21,2.43,186120.8,73.83,1012951.9,30.46565
2002,38.29,2.89,214454.2,76.88,1014577.56,31.57464
2003,40.11,4.75,208130.08,77.79,1052817.48,32.98712
2004,41.7,3.96,229669.01,73.79,1099259.63,34.08084
2005,43.59,4.54,262057.03,72.06,1134812.53,35.43223
2006,47.06,7.96,283202.3,72.32,1177125.41,38.19802
2007,49.84,5.9,328159.24,70.49,1209506.19,40.87188
2008,53.18,6.7,435818.88,65.02,1279602.7,44.69169
2009,59.87,12.63,533400.14,76.88,1329566.68,52.44588
2010,65.6,9.6,703761,74.54,1386181.22,60.39744
2011,71.87,9.64,820986.78,72.27,1436100,69.3119
2012,77.85,8.3,921320.75,81.02,1507171.7,74.55617
2013,85.51,9.9,1130302.29,87.96,1553502.39,81.74377
2014,93.27,9.1,1315376.28,98.25,1642710.82,91.21688
2015,100,7.2,1565967.16,99.49,1700405.26,100.0024
2016,109.94,9.93,1877801.53,106.35,1700448.19,110.9292
2017,114.83,4.47,2244578.57,106.21,1846506.03,113.03
2018,119.6,4.2,2591701.99,104.37,1982653.08,116.1
2019,125.14,4.64,3094466.64,112.88,2109263.06,119.72
2020,132.84,6.15,3582137.65,116.31,2058149.36,129.49
2021,137.62,3.6,4230969.78,117.87,2150500,135.97
2022,146.32,6.32,5190928.77,120.84,2263600,143.7
2023,157.64,7.74,5544372.73,130.75,2312400,153.22
